cell,N,fold,fit_s,r_Yp,r_Yfcst_0.1s,r_Yfcst_0.5s,ba_pred,p_pred,ba_fcst,p_fcst
PDI4_S3 behavioral,10,0,7.0,0.9803199210824203,0.5874488465714925,0.27607178258520415,0.9705882352941176,0.000999000999000999,0.4647058823529412,0.7702297702297702
PDI4_S3 behavioral,10,1,4.1,0.9795477735754795,0.5927009064159687,0.1781280403549791,0.8928571428571428,0.000999000999000999,0.4065934065934066,0.919080919080919
PDI4_S3 behavioral,10,2,4.1,0.9795508379785726,0.5876990097042617,0.16561013742942746,0.7411764705882353,0.015984015984015984,0.6647058823529413,0.1088911088911089
PDI4_S3 behavioral,25,0,10.0,0.9809353628408947,0.6754373016565958,0.27989593232794907,1.0,0.000999000999000999,0.5735294117647058,0.3876123876123876
PDI4_S3 behavioral,25,1,12.2,0.9796589516291001,0.5257729703799274,0.17584569129010735,0.9285714285714286,0.000999000999000999,0.5659340659340659,0.3726273726273726
PDI4_S3 behavioral,25,2,10.1,0.9796623760503211,0.5852996232140947,0.20563810877943997,0.8705882352941177,0.000999000999000999,0.5323529411764706,0.5594405594405595
PDI4_S3 behavioral,45,0,19.4,0.9804108474927348,0.6700424067534843,0.23871311595852834,1.0,0.000999000999000999,0.5529411764705883,0.43756243756243757
PDI4_S3 behavioral,45,1,18.1,0.9803155216945677,0.5994164576816783,0.1899189056603092,0.8901098901098901,0.000999000999000999,0.5192307692307692,0.5594405594405595
PDI4_S3 behavioral,45,2,17.9,0.9804740973201137,0.6378433494439059,0.2292948170767494,0.8705882352941177,0.000999000999000999,0.5029411764705882,0.6733266733266733
PDI4_S2 laplacian,10,0,11.5,0.9852285753179129,0.7055945127346988,0.2823781010532739,0.8048128342245989,0.001998001998001998,0.5508021390374331,0.4565434565434565
PDI4_S2 laplacian,10,1,11.1,0.987926976279317,0.6526572936034769,0.21833090770869767,0.5714285714285714,0.2987012987012987,0.5714285714285714,0.33266733266733267
PDI4_S2 laplacian,10,2,10.9,0.9875643545451351,0.6425085399086566,0.19250681338730832,0.5117647058823529,0.6413586413586414,0.49117647058823527,0.7892107892107892
PDI4_S2 laplacian,25,0,27.8,0.9854393499998019,0.7421218215576408,0.32376937136059303,0.7593582887700534,0.003996003996003996,0.5053475935828877,0.6403596403596403
PDI4_S2 laplacian,25,1,26.6,0.9894094623238511,0.6781154895128582,0.2335663114340259,0.6428571428571428,0.11788211788211789,0.6071428571428572,0.24575424575424576
PDI4_S2 laplacian,25,2,26.9,0.9892078890655328,0.6503870628314092,0.2064423907843996,0.6823529411764706,0.07792207792207792,0.5617647058823529,0.38461538461538464
PDI4_S2 laplacian,45,0,58.3,0.9855185016784124,0.7668462804080352,0.3605955596668372,0.7593582887700534,0.005994005994005994,0.47860962566844917,0.7302697302697303
PDI4_S2 laplacian,45,1,64.9,0.9882263580534775,0.6673807847074279,0.22359320258340393,0.75,0.012987012987012988,0.5,0.6483516483516484
PDI4_S2 laplacian,45,2,79.5,0.9870796843513849,0.6249195671341454,0.18712868640735575,0.9117647058823529,0.000999000999000999,0.5735294117647058,0.3906093906093906
