session,task,K,n1,nx,backward_kalman,max_eig,fit_seconds,r_Yp_val,r_Zp_val,r_Yfcst_val,r_Zfcst_val,r_Yp_test,r_Zp_test,r_Yfcst_test,r_Zfcst_test
PDI4_S2,behavioral,4,10,15,True,0.999,32.04675531387329,0.7361276854046652,0.018222021486674577,0.030642442898116073,-0.03696972899303143,,,,
PDI4_S2,behavioral,4,10,25,True,0.999,35.09525394439697,0.9988205245911225,0.013082055464623129,0.1704818400858786,0.0066584723931729616,,,,
PDI4_S2,laplacian,4,15,25,True,0.999,64.09170246124268,0.9784750989376046,0.04605036068200974,0.13009461420196497,-0.00385464907835366,,,,
PDI4_S2,laplacian,4,20,50,True,0.999,67.3703773021698,0.9999010741521076,0.03769619270128643,0.2502600564899712,0.01796119536519059,,,,
