panel,session,feature,model,mode,balanced_accuracy,perm_pvalue,best_h_m
forecast,PDI4_S2,xp,PSID,behavioral,0.5208,0.5347,h2.0_m0.5
forecast,PDI4_S2,xp_1,PSID,behavioral,0.4583,0.8416,h1.0_m0.5
forecast,PDI4_S2,xp_2,PSID,behavioral,0.4792,0.7129,h3.0_m0.5
forecast,PDI4_S2,xp_with_dbs,PSID,behavioral,1.0000,0.0099,h1.0_m0.5
forecast,PDI4_S3,xp,PSID,behavioral,0.5652,0.2277,h3.0_m0.5
forecast,PDI4_S3,xp_1,PSID,behavioral,0.5109,0.5446,h2.0_m1.0
forecast,PDI4_S3,xp_2,PSID,behavioral,0.5435,0.3168,h3.0_m0.5
forecast,PDI4_S3,xp_with_dbs,PSID,behavioral,1.0000,0.0099,h1.0_m0.5
forecast,PDI1_S2 (lap),xp,PSID,laplacian,0.5208,0.5050,h2.0_m0.5
forecast,PDI1_S2 (lap),xp_1,PSID,laplacian,0.3646,1.0000,h3.0_m1.0
forecast,PDI1_S2 (lap),xp_2,PSID,laplacian,0.5833,0.1881,h3.0_m0.5
forecast,PDI1_S2 (lap),xp_with_dbs,PSID,laplacian,1.0000,0.0099,h1.0_m0.5
forecast,PDI1_S4 (lap),xp,PSID,laplacian,0.5857,0.0495,h3.0_m1.0
forecast,PDI1_S4 (lap),xp_1,PSID,laplacian,0.5952,0.0792,h3.0_m0.5
forecast,PDI1_S4 (lap),xp_2,PSID,laplacian,0.6167,0.0297,h1.0_m1.0
forecast,PDI1_S4 (lap),xp_with_dbs,PSID,laplacian,1.0000,0.0099,h1.0_m0.5
forecast,PDI4_S2 (lap),xp,PSID,laplacian,0.5417,0.3861,h3.0_m0.5
forecast,PDI4_S2 (lap),xp_1,PSID,laplacian,0.5729,0.1485,h2.0_m1.0
forecast,PDI4_S2 (lap),xp_2,PSID,laplacian,0.5417,0.3762,h3.0_m0.5
forecast,PDI4_S2 (lap),xp_with_dbs,PSID,laplacian,1.0000,0.0099,h1.0_m0.5
forecast,PDI4_S3 (lap),xp,PSID,laplacian,0.4674,0.9208,h1.0_m1.0
forecast,PDI4_S3 (lap),xp_1,PSID,laplacian,0.4674,0.9802,h1.0_m1.0
forecast,PDI4_S3 (lap),xp_2,PSID,laplacian,0.5543,0.1584,h3.0_m1.0
forecast,PDI4_S3 (lap),xp_with_dbs,PSID,laplacian,1.0000,0.0099,h1.0_m0.5
forecast,PDI1_S2,xp,DPAD,behavioral,0.6458,0.0297,h2.0_m0.5
forecast,PDI1_S2,xp_1,DPAD,behavioral,0.6042,0.1683,h2.0_m0.5
forecast,PDI1_S2,xp_2,DPAD,behavioral,0.6458,0.0594,h2.0_m0.5
forecast,PDI1_S2,xp_with_dbs,DPAD,behavioral,,,
forecast,PDI1_S4,xp,DPAD,behavioral,,,
