mode,cell,condition,variant,recon_Y_recon_r,recon_Y_recon_rmse,recon_Z_recon_r,recon_Z_recon_rmse,recon_Yf_r,recon_Yf_rmse,recon_Zf_r,recon_Zf_rmse,BA_prediction_None_None,BA_forecast_1.0_0.5,BA_forecast_1.0_1.0,BA_forecast_2.0_0.5,BA_forecast_2.0_1.0,BA_forecast_3.0_0.5,BA_forecast_3.0_1.0
behavioral,PDI1_S2,rts_light,psid_behavioral_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band_rts_noclip,0.7435134595609537,0.6228785957010615,0.04151843971000908,3192.896376267962,0.0638284481649594,1.8820204320063394,0.004113715088868543,3530.728978357028,0.54199016563147,0.6800595238095238,0.6882440476190477,0.6086309523809523,0.5892857142857143,0.6369047619047619,0.5877976190476191
behavioral,PDI1_S2,fb_light,psid_behavioral_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band_fb_noclip,0.743513459560952,0.6228785957010653,0.013354257285699833,3223.155153670186,0.058015764537593384,1.8850638755198292,0.002873216675408144,3525.8688379467394,0.54199016563147,0.6473214285714286,0.6837797619047619,0.5982142857142857,0.6294642857142857,0.6354166666666667,0.5892857142857142
behavioral,PDI1_S2,rts_clip,psid_behavioral_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band_optA_rts_clip,0.7435127251635106,0.622874922784855,0.041515851289411154,3192.898728916363,0.06384494544108277,1.8817565949482018,0.004434741936804959,3530.106402650911,0.5409549689440993,0.6800595238095238,0.6882440476190477,0.6086309523809523,0.5892857142857143,0.6369047619047619,0.5877976190476191
behavioral,PDI1_S2,fb_clip,psid_behavioral_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band,0.7435127251635106,0.622874922784855,0.01419582979631346,3224.861396241189,0.058029937187787185,1.8847971389049316,0.003161546829072926,3525.376056228451,0.5409549689440993,0.6473214285714286,0.6897321428571428,0.5982142857142857,0.6294642857142857,0.6354166666666667,0.5892857142857142
behavioral,PDI1_S4,rts_light,psid_behavioral_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band_rts_noclip,0.7090424698197622,2.133916341483829,0.024061689870923306,5448.883600925283,0.03140789472619519,3.3940401825890527,-0.00019206708068247175,5002.728691444795,0.7905797101449276,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7694444444444444,0.7694444444444444
behavioral,PDI1_S4,fb_light,psid_behavioral_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band_fb_noclip,0.709042469819763,2.1339163414838316,0.007458670986069825,5453.230722175202,0.029074511528677183,3.39409765567371,0.0030652177804335375,5000.68600498148,0.7905797101449276,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7694444444444444,0.7694444444444444
behavioral,PDI1_S4,rts_clip,psid_behavioral_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band_optA_rts_clip,0.7088898337205072,2.1340801263824916,0.024062486069966985,5448.883484424712,0.031399232280258565,3.3936409377978727,-0.00018984781680963462,5002.728861741062,0.7905797101449276,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7694444444444444,0.7694444444444444
behavioral,PDI1_S4,fb_clip,psid_behavioral_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band,0.7088898337205072,2.1340801263824916,0.007458592711236124,5453.230765887387,0.029061278843355687,3.3937005762943393,0.003068172569897529,5000.68609088209,0.7905797101449276,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.8027777777777778,0.7694444444444444
behavioral,PDI4_S2,rts_light,psid_behavioral_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band_rts_noclip,0.8879302351927566,0.29425000731288414,0.00011785496967601583,12911.882159214769,0.10690181900643729,1.216763727039871,-0.05620453143803933,12202.228639831827,0.6834687052078356,0.5490842490842491,0.5641025641025641,0.6831501831501832,0.5291208791208791,0.6860805860805861,0.6269230769230769
behavioral,PDI4_S2,fb_light,psid_behavioral_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band_fb_noclip,0.887930235192758,0.29425000731288375,-0.0031080594788073334,12918.690528473699,0.09971989752215388,1.2186633134865676,-0.04850691508252229,12197.599978487155,0.6834687052078356,0.5648351648351648,0.5976190476190476,0.6604395604395604,0.6205128205128205,0.6989010989010989,0.6604395604395604
