variant,target,session,metric,value
FB,ecog_Y,PDI1_S4,rmse,0.5934190062712628
FB,ecog_Y,PDI1_S4,pearson,0.7499687233716427
FB,ecog_Y,PDI1_S4,vaf,0.5872436044276685
FB,ecog_Y,PDI4_S2,rmse,0.423046471532928
FB,ecog_Y,PDI4_S2,pearson,0.8896108471719484
FB,ecog_Y,PDI4_S2,vaf,0.7490429710141588
FB,ecog_Y,PDI4_S3,rmse,0.4793478448159734
FB,ecog_Y,PDI4_S3,pearson,0.8050768873047901
FB,ecog_Y,PDI4_S3,vaf,0.6808895242077363
FB,lap_Z,PDI1_S2,rmse,0.1810903758868564
FB,lap_Z,PDI1_S2,pearson,0.9829269401990107
FB,lap_Z,PDI1_S2,vaf,0.9650986353106059
FB,lap_Z,PDI1_S4,rmse,0.2203429511830673
FB,lap_Z,PDI1_S4,pearson,0.9752681049289367
FB,lap_Z,PDI1_S4,vaf,0.9483052388037837
FB,lap_Z,PDI4_S2,rmse,1.012524774950685
FB,lap_Z,PDI4_S2,pearson,0.01453382652670966
FB,lap_Z,PDI4_S2,vaf,-0.029867560246786756
FB,lap_Z,PDI4_S3,rmse,1.033443688534063
FB,lap_Z,PDI4_S3,pearson,0.005252853998455723
FB,lap_Z,PDI4_S3,vaf,-0.07165976093369242
FB+A,beh_Z,PDI1_S2,rmse,1.0290393820758632
FB+A,beh_Z,PDI1_S2,pearson,0.015647645827058302
FB+A,beh_Z,PDI1_S2,vaf,-0.01248601942489189
FB+A,beh_Z,PDI1_S4,rmse,1.016121946144451
FB+A,beh_Z,PDI1_S4,pearson,0.006532630489054697
FB+A,beh_Z,PDI1_S4,vaf,-0.0005239853314325845
FB+A,beh_Z,PDI4_S2,rmse,1.2752900426365374
FB+A,beh_Z,PDI4_S2,pearson,-0.0077506528648551105
FB+A,beh_Z,PDI4_S2,vaf,-0.01296422196735187
FB+A,beh_Z,PDI4_S3,rmse,1.334575699284006
FB+A,beh_Z,PDI4_S3,pearson,-0.0047267706397176165
FB+A,beh_Z,PDI4_S3,vaf,-0.4822581065497658
FB+A,ecog_Y,PDI1_S2,rmse,0.523217863384986
FB+A,ecog_Y,PDI1_S2,pearson,0.7435598117008752
FB+A,ecog_Y,PDI1_S2,vaf,0.6296837531865208
FB+A,ecog_Y,PDI1_S4,rmse,0.7122615091069708
FB+A,ecog_Y,PDI1_S4,pearson,0.6827188739971286
FB+A,ecog_Y,PDI1_S4,vaf,0.4657118292934747
FB+A,ecog_Y,PDI4_S2,rmse,0.4230462088473949
